idx,layer,type,cond_32,cond_4,var_32,var_4,cosine_sim,dead_neuron_ratio,SNR,KL,SFR,magnitude_loss,RelErr,mse_error,inherited_error,error_delta,error_propagation,instability_pca,instability_shap,shap_magnitude,sensitivity_W4A8
1,conv1,Conv2d,306285184.0,3.742447309879771e+18,0.01682163029909134,0.016817986965179443,0.9999619126319885,,39.65729499718628,0.007248989772051573,0.07509765774011612,0.0010016137109787992,0.010402697138488293,6.895642582094297e-05,,0.010402697138488293,,-1.9278789411251054,0.027289022870051364,0.502263098115564,8.300000000000011
2,bn1,BatchNorm2d,,,0.015162661671638489,0.015193978324532509,0.9994653463363647,,39.84735880404669,0.007778917904943228,0.0,0.00011293054771315641,0.006361883133649826,4.416644060256658e-06,0.010402697138488293,-0.004040814004838467,0.6115609296650893,-1.5090300324267472,0.0130946001658837,0.5232499726917825,-0.04999999999999716
3,relu,ReLU,,,,,,0.2939312160015106,39.84735880404669,0.007778917904943228,0.0,0.00011293054771315641,0.006361883133649826,4.416644060256658e-06,0.006361883133649826,0.0,0.9999999998428137,-1.7207834925878134,0.012400345240409175,0.5237969333223053,-0.14999999999999147
4,maxpool,MaxPool2d,,,,,,,41.628797356467906,0.002577710896730423,0.0,0.00011232799775344005,0.004817517474293709,4.6833179112582e-06,0.006361883133649826,-0.0015443656593561172,0.7572470874315859,-1.583273015076713,0.013087860626789431,0.5230172134132929,-0.14999999999999147
5,layer1.0.conv1,Conv2d,9.634580612182617,8.463960647583008,0.002851321129128337,0.002731046639382839,0.9785184264183044,,16.62846765700212,0.06625105440616608,0.03618163987994194,0.0006840947959931591,0.10534462332725525,0.019127942621707916,0.004817517474293709,0.10052710585296154,21.866993501841467,0.0841576962771717,0.12312690926870952,0.46505109940681616,12.200000000000003
6,layer1.0.bn1,BatchNorm2d,,,0.015583397820591927,0.015628501772880554,0.999699056148529,,6.236499487831287,0.032660260796546936,0.0015136718284338713,0.0012272950417280314,0.28559353947639465,0.0019919718615710735,0.10534462332725525,0.1802489161491394,2.7110404921804254,-0.03418162771706297,0.28649806665877503,0.2431819580205167,0.05000000000001137
7,layer1.0.relu,ReLU,,,,,,0.3676210045814514,-1.072398915244275,2.7249205112457275,0.0028808594215661287,0.004655493482309125,0.7677149176597595,0.06810014694929123,0.28559353947639465,0.48212137818336487,2.688138250832267,1.0591769452851978,0.7837765902280808,0.3424323424084689,-0.04999999999999716
8,layer1.0.conv2,Conv2d,7.962941646575928,6.953104019165039,0.002043066779151559,0.0019874833524227142,0.986589789390564,,10.342366396553375,0.042849574238061905,0.10561523586511612,0.0005864242779651077,0.2943037748336792,0.006796363741159439,0.7677149176597595,-0.4734111428260803,0.38335034016328334,-1.4654649719161088,0.29130498245358466,0.24278116869237998,0.8500000000000085
9,layer1.0.bn2,BatchNorm2d,,,0.014951156452298164,0.01559694018214941,0.9996853470802307,,-5.385670245191191,3.449366807937622,0.53369140625,0.0016135341286915704,0.9612420797348022,0.23487944900989532,0.2943037748336792,0.666938304901123,3.2661561350165007,2.762371700278455,0.9841064323981603,0.5289635898663638,0.20000000000000284
10,layer1.1.conv1,Conv2d,6.277219295501709,5.94378137588501,0.0025841889437288046,0.002496125875040889,0.9835996031761169,,15.136170653935775,0.07509177923202515,0.0654296875,0.0004884959210590591,0.14267078042030334,0.02333136275410652,0.9612420797348022,-0.8185712993144989,0.14842336121980476,-2.249608812519236,0.15312521752590935,0.3865098601923048,6.700000000000003
