idx,layer,type,cond_32,cond_4,var_32,var_4,cosine_sim,dead_neuron_ratio,SNR,KL,SFR,magnitude_loss,RelErr,mse_error,inherited_error,error_delta,error_propagation,sensitivity_W4A8,instability_shap,shap_magnitude
1,features.0,Conv2d,68.66035461425781,68.8393325805664,0.0644381195306778,0.064449742436409,0.9999895691871643,,39.389036721294985,0.006063466891646385,0.0,4.9877799391490845e-05,0.007914273999631405,2.144648715329822e-05,,0.007914273999631405,,1.259999999999991,0.86766666666666,0.5672622254424056
2,features.1,ReLU,,,,,,0.35717836022377014,39.389036721294985,0.006063466891646385,0.0,4.9877799391490845e-05,0.007914273999631405,2.144648715329822e-05,0.007914273999631405,0.0,0.999999999873646,-0.0799999999999983,0.23516666666666583,0.5483321259003129
3,features.2,Conv2d,11.00086784362793,10.706948280334473,0.0031080045737326145,0.0031802034936845303,0.9879278540611267,,19.512461265564834,0.032751403748989105,0.0008789062267169356,0.0004027183488547697,0.08484494686126709,0.005012390203773975,0.007914273999631405,0.07693067286163568,10.720496517368252,0.1599999999999966,0.3663333333333302,0.5346234320415242
4,features.3,ReLU,,,,,,0.5693591237068176,19.512461265564834,0.032751403748989105,0.0008789062267169356,0.0004027183488547697,0.08484494686126709,0.005012390203773975,0.08484494686126709,0.0,0.9999999999882138,-0.0799999999999983,-0.0166666666666656,0.45900650931593473
5,features.4,MaxPool2d,,,,,,,18.631216503198264,0.039212245494127274,0.0008789062267169356,0.0006528070704027318,0.08401733636856079,0.00855888519436121,0.08484494686126709,-0.0008276104927062988,0.9902456124458442,-0.0799999999999983,0.010666666666667268,0.43995550513774206
6,features.5,Conv2d,12.121331214904785,11.421406745910645,0.002366376807913184,0.0024400127585977316,0.9856662154197693,,8.875234797863918,0.01076565869152546,0.0003662109375,0.0003192534381139489,0.20056134462356567,0.025570839643478394,0.08401733636856079,0.11654400825500488,2.387142383821494,0.980000000000004,0.6825000000000018,0.71908092811601
7,features.6,ReLU,,,,,,0.553113579750061,8.875234797863918,0.01076565869152546,0.0003662109375,0.0003192534381139489,0.20056134462356567,0.025570839643478394,0.20056134462356567,0.0,0.999999999995014,0.0,0.034666666666666165,0.399450004236198
8,features.7,Conv2d,5.725996971130371,5.475308418273926,0.0014552208594977856,0.0014980945270508528,0.9859645366668701,,8.873337670261332,0.02074413374066353,0.0,2.44140625e-05,0.20728132128715515,0.02891894057393074,0.20056134462356567,0.0067199766635894775,1.0335058416923197,0.7599999999999909,0.7008333333333259,0.64458256815499
9,features.8,ReLU,,,,,,0.6859269142150879,8.873337670261332,0.02074413374066353,0.0,2.44140625e-05,0.20728132128715515,0.02891894057393074,0.20728132128715515,0.0,0.9999999999951756,0.0,0.03266666666666632,0.3802160967052932
10,features.9,MaxPool2d,,,,,,,10.57836712295472,0.013810559175908566,0.0,2.44140625e-05,0.1515382081270218,0.06126169115304947,0.20728132128715515,-0.05574311316013336,0.7310750779919949,0.0,0.05799999999999888,0.362126893049847
